City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
0,Rikitea,PF,74.34,light rain,-23.1203,-134.9692,People ThankYou
1,Khatanga,RU,17.64,light snow,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
2,Jamestown,US,68.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Syracuse,IT,65.89,few clouds,37.0881,15.2792,Hotel Posta
4,Kavieng,PG,80.96,light rain,-2.5744,150.7967,Nusa Island Retreat
5,East London,ZA,61.75,clear sky,-33.0153,27.9116,Tu Casa
6,Alice Springs,AU,67.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
8,Hermanus,ZA,49.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Viesca,MX,89.96,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
10,Takoradi,GH,77.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
12,Mataura,NZ,52.48,clear sky,-46.1927,168.8643,Ellie's Villa
13,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Khandyga,RU,31.55,light snow,62.6667,135.6,Apel'sin
16,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
17,Hobyo,SO,78.3,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
18,Talnakh,RU,14.29,scattered clouds,69.4865,88.3972,Talnakh Hotel
19,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Nabire,ID,76.82,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
21,Lourdes,FR,56.68,overcast clouds,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
22,Ushuaia,AR,51.46,light rain,-54.8,-68.3,Albatros Hotel
23,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
24,Bell Ville,AR,75.67,clear sky,-32.6259,-62.6887,Hotel Central
25,Barrow,US,30.22,overcast clouds,71.2906,-156.7887,King Eider Inn
27,Port Alfred,ZA,60.67,clear sky,-33.5906,26.891,The Halyards Hotel
28,Leningradskiy,RU,17.15,overcast clouds,69.3833,178.4167,Gostinitsa
29,Sao Filipe,CV,80.69,clear sky,14.8961,-24.4956,Hotel Xaguate
30,Punta Arenas,CL,57.31,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
31,Cabo San Lucas,MX,99.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
32,Livingston,GB,56.48,clear sky,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
33,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
34,Lagoa,PT,69.49,broken clouds,39.05,-27.9833,Casa Das Faias
35,Sinnamary,GF,82.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
36,Bluff,NZ,52.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
37,Fort Portal,UG,59.67,light rain,0.6617,30.2748,Elegance hotel
39,Tuktoyaktuk,CA,32.0,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
40,Bethel,US,65.35,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
41,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Gorontalo,ID,75.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
43,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
44,Thompson,CA,51.96,few clouds,55.7435,-97.8558,Burntwood Hotel
45,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
46,Yulara,AU,60.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
47,Pisco,PE,67.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
48,Kupang,ID,75.96,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
49,Kaitangata,NZ,52.05,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
50,Sisimiut,GL,33.1,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
52,Torbay,CA,45.57,light intensity shower rain,47.6666,-52.7314,Gallows Cove
53,Narsaq,GL,35.82,clear sky,60.9167,-46.05,Narsaq Kayak Hostel
54,Xichang,CN,62.17,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
55,Hilo,US,79.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
56,Bambous Virieux,MU,72.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
57,Port Lincoln,AU,52.23,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
58,Hobart,AU,47.05,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
59,Calabar,NG,74.82,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
60,Chilliwack,CA,57.83,overcast clouds,49.1747,-121.9443,Coast Chilliwack Hotel by APA
61,Nuevo Laredo,MX,96.78,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
62,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
63,Anuradhapura,LK,77.52,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
64,Borba,BR,87.4,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
65,Busselton,AU,41.09,overcast clouds,-33.65,115.3333,Observatory Guest House
66,Port Hardy,CA,50.18,moderate rain,50.6996,-127.4199,Airport Inn
